case	kind	expected_category	actual_category	expected_allow	actual_allow	expected_explicit	actual_explicit	expected_missing	actual_missing	expected_risk	actual_risk	expected_external	actual_external	expected_destructive	actual_destructive	pass
explicit_assistant_basic	trigger	explicit-choice	explicit-choice	true	true	1	1	0	0	1	1	0	0	0	0	1
required_missing_security_scope	trigger	required-input-missing	required-input-missing	true	true	0	0	1	1	0	0	0	0	0	0	1
external_assistant_kubectl_apply	trigger	external-action-gate	external-action-gate	true	true	0	0	0	0	0	0	1	1	0	0	1
destructive_rmrf_programming	trigger	destructive-action-gate	destructive-action-gate	true	true	0	0	0	0	0	0	0	0	1	1	1
near_miss_rm_r_not_destructive	near-miss	none	none	false	false	0	0	0	0	0	0	0	0	0	0	1
precedence_explicit_over_destructive	trigger	explicit-choice	explicit-choice	true	true	1	1	0	0	0	0	0	0	1	1	1
precedence_missing_over_external	trigger	required-input-missing	required-input-missing	true	true	0	0	1	1	1	1	1	1	0	0	1
precedence_destructive_over_risk	trigger	destructive-action-gate	destructive-action-gate	true	true	0	0	0	0	1	1	0	0	1	1	1
none_chat_external_command	near-miss	none	none	false	false	0	0	0	0	0	0	1	1	0	0	1
required_high_order_env_scope	trigger	required-input-missing	required-input-missing	true	true	0	0	1	1	0	0	0	0	0	0	1
none_near_miss_optional_choice_words	near-miss	none	none	false	false	0	0	0	0	0	0	0	0	0	0	1
external_assistant_git_push	trigger	external-action-gate	external-action-gate	true	true	0	0	0	0	0	0	1	1	0	0	1
required_missing_placeholder_secret	trigger	required-input-missing	required-input-missing	true	true	0	0	1	1	0	0	0	0	0	0	1
required_missing_deploy_scope	trigger	required-input-missing	required-input-missing	true	true	0	0	1	1	0	0	0	0	0	0	1
risk_ack_policy_exception	trigger	risk-acknowledgement	risk-acknowledgement	true	true	0	0	0	0	1	1	0	0	0	0	1
external_assistant_ansible	trigger	external-action-gate	external-action-gate	true	true	0	0	0	0	0	0	1	1	0	0	1
external_assistant_aws_ecs	trigger	external-action-gate	external-action-gate	true	true	0	0	0	0	0	0	1	1	0	0	1
destructive_helm_uninstall	trigger	destructive-action-gate	destructive-action-gate	true	true	0	0	0	0	0	0	1	1	1	1	1
destructive_kubectl_force_replace	trigger	destructive-action-gate	destructive-action-gate	true	true	0	0	0	0	0	0	1	1	1	1	1
none_near_miss_shell_var_doc	near-miss	none	none	false	false	0	0	0	0	0	0	0	0	0	0	1
explicit_programming_three_way	trigger	explicit-choice	explicit-choice	true	true	1	1	0	0	0	0	0	0	0	0	1
explicit_near_miss_decide_wording	near-miss	none	none	false	false	0	0	0	0	0	0	0	0	0	0	1
required_missing_legal_scope	trigger	required-input-missing	required-input-missing	true	true	0	0	1	1	0	0	0	0	0	0	1
required_legal_scope_present_near	near-miss	none	none	false	false	0	0	0	0	0	0	0	0	0	0	1
external_assistant_kubectl_scale	trigger	external-action-gate	external-action-gate	true	true	0	0	0	0	0	0	1	1	0	0	1
near_miss_assistant_kubectl_get	near-miss	none	none	false	false	0	0	0	0	0	0	0	0	0	0	1
destructive_git_reset_hard	trigger	destructive-action-gate	destructive-action-gate	true	true	0	0	0	0	0	0	0	0	1	1	1
near_miss_git_reset_soft	near-miss	none	none	false	false	0	0	0	0	0	0	0	0	0	0	1
destructive_aws_s3_recursive	trigger	destructive-action-gate	destructive-action-gate	true	true	0	0	0	0	0	0	1	1	1	1	1
risk_ack_deploy_exception	trigger	risk-acknowledgement	risk-acknowledgement	true	true	0	0	0	0	1	1	0	0	0	0	1
risk_ack_near_checklist	near-miss	none	none	false	false	0	0	0	0	0	0	0	0	0	0	1
